country,rank,wespa.name,sa.rating.name,sa.h2h.name,sa.rating,sa.games,msa.rating,msa.games,wespa.rating,wespa.games,exp.mixed.win,exp.wespa.win,exp.sa.win,exp.msa.win
Singapore,1,Hubert Wee,"Wee Ming Hui, Hubert",Hubert Wee Ming Hui,2041,1172,2051,368,2019,769,13.14637923,13.09599101,11.20957295,12.37630146
Singapore,2,Marlon Prudencio,"Prudencio, Marlon",Marlon Prudencio,1958,973,1933,343,1900,790,10.90299774,11.3954936,10.05168058,9.166015469
Singapore,3,Wong Zhi Yuan,Wong Zhi Yuan,Wong Zhi Yuan,1891,223,1879,31,1767,273,8.787934993,9.376051871,8.60677747,7.701023126
Singapore,4,Victor Gwee,"Gwee, Victor",Victor Gwee,1889,454,1688,45,1530,192,5.752333943,5.937200973,8.56594774,3.507760183
Singapore,5,Tony Sim,"Sim, Tony",Tony Sim,1888,2047,1914,790,1874,1788,10.42963548,11.00651294,8.891190406,8.644079927
Singapore,6,Ricky Purnomo,"Purnomo, Ricky",Ricky Purnomo,1878,1300,1963,491,1834,868,10.36033369,10.40061452,8.340640988,9.996060447
Singapore,7,Victor Chua,"Chua Kim Loong, Victor",Victor Chua,1873,824,1965,146,1850,146,10.40597599,10.64385321,8.463683335,10.05142888
Singapore,8,Michael Tang,"Tang, Michael",Michael Tang,1871,1254,1889,663,1712,1159,8.808248912,8.538565614,8.196708136,7.967314229
Singapore,9,Yong Jian Rong,Yong Jian Rong,Yong Jian Rong,1845,472,2079,12,1309,49,9.492599761,3.45474383,7.659849126,13.08741108
Singapore,10,Shim Yen Nee,Shim Yen Nee,Shim Yen Nee,1835,1277,1857,433,1703,441,8.208823037,8.40271453,7.45306928,7.126524677
Malaysia,1,Nigel Richards,,Nigel Richards,2119,465,2188,1173,2332,2294,16.54420482,17.18458986,15.5537284,16.18006739
Malaysia,2,Aaron Chong,,Aaron Chong,2028,177,2011,778,1896,307,12.63583997,12.12392454,13.51777429,12.31949398
Malaysia,3,Vannitha Balasingam,,Vannitha Bala,1791,32,1990,1113,1906,592,10.6636497,12.27098998,7.035353574,11.77507877
Malaysia,4,Yeo Kian Hung,,Yeo Kian Hung Henry,1869,570,1973,1378,1864,1146,10.77300105,11.64810811,9.165178905,11.32698494
Malaysia,5,William Kang,,,,,1931,959,1667,348,9.417672578,8.662597603,20,10.20321416
Malaysia,6,Martin Teo,,Martin Teo,1769,44,1937,761,1742,393,8.91865252,9.794899369,6.47416133,10.36451703
Malaysia,7,Vinnith Ramamurti,,,,,1908,344,1562,133,8.171921065,7.145882888,20,9.585194131
Malaysia,8,Jocelyn Lor,,Jocelyn Lor,1849,668,1907,1899,1690,1063,9.090040634,9.006995617,8.603972406,9.558379007
Malaysia,9,Tan Jin Chor,,Tan Jin Chor,1758,207,1907,1781,1736,1135,8.837349137,9.703533931,6.202269758,9.558379007
Malaysia,10,Alex Tan,,Alex Tan,1750,235,1905,1199,1769,617,8.652405744,10.20673602,6.008441325,9.504772112
