"player","vp","spread","ave.score","ave.opp.score","ave.spread","j","q","x","z","blank","s","power.tiles","overtime","seconds.left","bingos","bingo.ave.score","country","tou.name","sa.rating.name","sa.h2h.name","sa.rating.before","sa.rating.after","Change"
"Andy Kurnia",11,335,432.111111111111,413.5,18.6111111111111,11,9,12,8,17,34,91,1,149.111111111111,34,80.9117647058823,"Singapore","Andy Kurnia","Kurnia, Andy","Andy Kurnia",1820,1854,34
"Cheah Siu Hean",6,-219,418.944444444444,431.111111111111,-12.1666666666667,8,8,10,10,12,35,83,0,733.75,30,79.5333333333333,"Singapore","Cheah Siu Hean","Cheah Siu Hean","Cheah Siu Hean",2015,1942,-73
"Gabriel Cheang",10,-194,425.222222222222,436,-10.7777777777778,7,9,8,10,13,36,83,1,282.777777777778,30,78.5666666666667,"Singapore","Gabriel Cheang","Cheang Eu Howe, Gabriel","Gabriel Cheang",1795,1827,32
"Hubert Wee",11,915,458,407.166666666667,50.8333333333333,10,10,8,13,19,32,92,0,330.615384615385,44,75.9772727272727,"Singapore","Hubert Wee","Wee Ming Hui, Hubert","Hubert Wee Ming Hui",2011,1989,-22
"J Jeyaseelan",8.5,302,435.555555555556,418.777777777778,16.7777777777778,7,10,5,5,17,38,80,5,139.875,38,73.6842105263158,"Singapore","J Jeyaseelan","J Jeyaseelan","J Jeyaseelan",1828,1816,-12
"Jeremy Khoo",9,-285,414.722222222222,430.555555555556,-15.8333333333333,6,9,8,11,16,39,89,2,228.823529411765,26,79.6538461538462,"Singapore","Jeremy Khoo","Khoo, Jeremy","Jeremy Khoo",1710,1759,49
"Lee Cheong Cheng",7,-523,399.222222222222,428.277777777778,-29.0555555555556,12,8,10,7,19,29,85,1,140.588235294118,31,73.8064516129032,"Singapore","Lee Cheong Cheng","Lee Cheong Cheng","Lee Cheong Cheng",1779,1751,-28
"Lee Guan Hui",8,-86,409.166666666667,413.944444444444,-4.77777777777778,12,13,9,9,19,28,90,0,226.928571428571,32,74.28125,"Singapore","Lee Guan Hui","Lee Guan Hui","Lee Guan Hui",1831,1813,-18
"Leon Tan",4,-1007,381.722222222222,437.666666666667,-55.9444444444444,6,7,11,7,17,41,89,0,548.352941176471,31,72.8387096774194,"Singapore","Leon Tan Zheng Han","Tan Zheng Han, Leon","Leon Tan Zheng Han",1607,1605,-2
"Lim Li Wei",11,11,433,432.421052631579,0.578947368421053,9,7,11,11,22,32,92,4,134.105263157895,33,80.3030303030303,"Singapore","Lim Li Wei","Lim Li Wei","Lim Li Wei",1836,1872,36
"Marlon Prudencio",12.5,377,437,416.055555555556,20.9444444444444,7,7,10,13,17,41,95,0,197.6875,36,74.8333333333333,"Singapore","Marlon Prudencio","Prudencio, Marlon","Marlon Prudencio",1984,1980,-4
"Michael Tang",12,423,421.5,398,23.5,10,8,11,10,23,34,90,0,176.411764705882,29,78.8965517241379,"Singapore","Michael Tang","Tang, Michael","Michael Tang",1848,1899,51
"Shim Yen Nee",7,-21,412,413.166666666667,-1.16666666666667,10,8,6,8,17,38,87,0,297.75,38,77.8684210526316,"Singapore","Shim Yen Nee","Shim Yen Nee","Shim Yen Nee",1802,1780,-22
"Tay Jing En",10,-574,403,434.888888888889,-31.8888888888889,8,8,8,8,22,45,99,0,512.764705882353,34,80.0588235294118,"Singapore","Tay Jing En","Tay Jing En","Tay Jing En",1624,1743,119
"Tony Sim",7,87,417.055555555556,412.222222222222,4.83333333333333,10,9,9,9,22,34,93,2,84.0625,32,77.4375,"Singapore","Tony Sim","Sim, Tony","Tony Sim",1884,1838,-46
"Yong Jian Rong",11,563,442.842105263158,413.210526315789,29.6315789473684,11,13,8,5,17,40,94,1,426,31,79.2903225806452,"Singapore","Yong Jian Rong","Yong Jian Rong","Yong Jian Rong",1816,1840,24
