country,display.name,tou.name,sa.rating.name,sa.h2h.name,sa.rating.before,sa.rating.after,Change
Singapore,Hubert Wee,Hubert Wee,"Wee Ming Hui, Hubert",Hubert Wee Ming Hui,2011,1989,-22
Singapore,Marlon Prudencio,Marlon Prudencio,"Prudencio, Marlon",Marlon Prudencio,1984,1980,-4
Singapore,Tony Sim,Tony Sim,"Sim, Tony",Tony Sim,1884,1838,-46
Singapore,Michael Tang,Michael Tang,"Tang, Michael",Michael Tang,1848,1899,51
Singapore,Yong Jian Rong,Yong Jian Rong,Yong Jian Rong,Yong Jian Rong,1816,1840,24
Singapore,Shim Yen Nee,Shim Yen Nee,Shim Yen Nee,Shim Yen Nee,1802,1780,-22
Singapore,Andy Kurnia,Andy Kurnia,"Kurnia, Andy",Andy Kurnia,1820,1854,34
Singapore,Lim Li Wei,Lim Li Wei,Lim Li Wei,Lim Li Wei,1836,1872,36
Singapore,Gabriel Cheang,Gabriel Cheang,"Cheang Eu Howe, Gabriel",Gabriel Cheang,1795,1827,32
Singapore,Tay Jing En,Tay Jing En,Tay Jing En,Tay Jing En,1624,1743,119
Singapore,Jeremy Khoo,Jeremy Khoo,"Khoo, Jeremy",Jeremy Khoo,1710,1759,49
Singapore,J Jeyaseelan,J Jeyaseelan,J Jeyaseelan,J Jeyaseelan,1828,1816,-12
Singapore,Lee Guan Hui,Lee Guan Hui,Lee Guan Hui,Lee Guan Hui,1831,1813,-18
Singapore,Lee Cheong Cheng,Lee Cheong Cheng,Lee Cheong Cheng,Lee Cheong Cheng,1779,1751,-28
Singapore,Cheah Siu Hean,Cheah Siu Hean,Cheah Siu Hean,Cheah Siu Hean,2015,1942,-73
Singapore,Leon Tan,Leon Tan Zheng Han,"Tan Zheng Han, Leon",Leon Tan Zheng Han,1607,1605,-2
