Winner,Loser,Winner Score,Loser Score,Round
Lee Cheong Cheng,J Goutham,503,441,1
Poh Ying Ming,Tan Mun Ri,508,343,1
Tony Sim,Michael Tang,441,322,1
Victor Gwee,Serene Ngu,562,332,1
J Goutham,Tan Mun Ri,514,250,2
Michael Tang,Lee Cheong Cheng,465,345,2
Poh Ying Ming,Serene Ngu,427,373,2
Tony Sim,Victor Gwee,463,353,2
J Goutham,Poh Ying Ming,404,368,3
Lee Cheong Cheng,Victor Gwee,388,375,3
Michael Tang,Tan Mun Ri,474,323,3
Tony Sim,Serene Ngu,383,342,3
J Goutham,Serene Ngu,555,438,4
Michael Tang,Poh Ying Ming,565,234,4
Tan Mun Ri,Victor Gwee,464,358,4
Tony Sim,Lee Cheong Cheng,439,387,4
J Goutham,Michael Tang,398,393,5
Lee Cheong Cheng,Serene Ngu,412,322,5
Tony Sim,Tan Mun Ri,511,425,5
Victor Gwee,Poh Ying Ming,514,362,5
Lee Cheong Cheng,Tan Mun Ri,484,333,6
Michael Tang,Serene Ngu,443,395,6
Poh Ying Ming,Tony Sim,391,359,6
Victor Gwee,J Goutham,455,304,6
Lee Cheong Cheng,Poh Ying Ming,387,382,7
Serene Ngu,Tan Mun Ri,374,343,7
Tony Sim,J Goutham,504,351,7
Victor Gwee,Michael Tang,560,321,7
Poh Ying Ming,J Goutham,539,364,8
Tan Mun Ri,Serene Ngu,431,302,8
Tony Sim,Lee Cheong Cheng,455,409,8
Victor Gwee,Michael Tang,467,340,8
J Goutham,Poh Ying Ming,536,450,9
Michael Tang,Lee Cheong Cheng,504,293,9
Serene Ngu,Tan Mun Ri,475,292,9
Tony Sim,Victor Gwee,442,368,9
